field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14
MF42-SD-10,"Rectangular Power Connector, 10 Contacts, PCB Mount, Through Hole, 4.2 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF42-SD-10=Order Code:1840056=Technical Datasheet: MF42-SD-10  Datasheet,No. of Contacts:10Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Through Hole=Pitch Spacing:4.2mm=Contact Gender:-=Contact Material:Brass=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.301,10+:£0.301=50+:£0.266=100+:£0.252=250+:£0.24=500+:£0.226,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1840052-40.jpg,885880.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
BMCWPF2L-BK-70-SET,"Rectangular Power Connector, Black, 250A, 2 Contacts, BMC, Cable Mount, Crimp, Receptacle",Manufacturer:MULTICOMP PRO=Manufacturer Part No:BMCWPF2L-BK-70-SET=Order Code:2064927=Product Range:BMC=Technical Datasheet: BMCWPF2L-BK-70-SET  Datasheet,No. of Contacts:2Contacts=Product Range:BMC=Connector Mounting:Cable Mount=Contact Termination Type:Crimp=Pitch Spacing:-=Gender:Receptacle (View Associated Connectors)=Contact Gender:Pin=Connector Shell Size:-=No. of Rows:1Rows,,,,£6.26,1+:£6.26,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85369020, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (27-Jun-2018) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.25",2064927-40.jpg,1505893.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF42-SP-08,"Rectangular Power Connector, 8 Contacts, PCB Mount, Through Hole, 4.2 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF42-SP-08=Order Code:1840069=Technical Datasheet: MF42-SP-08  Datasheet,No. of Contacts:8Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Through Hole=Pitch Spacing:4.2mm=Contact Gender:-=Contact Material:Brass=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.22,1+:£0.22=5+:£0.20=10+:£0.19,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1840066-40.jpg,885893.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF30-SHP1-14,"Rectangular Power Connector, Right Angle, 14 Contacts, PCB Mount, Surface Mount, 3 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF30-SHP1-14=Order Code:1840003=Technical Datasheet: MF30-SHP1-14  Datasheet,No. of Contacts:14Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Surface Mount=Pitch Spacing:3mm=Contact Gender:-=Contact Material:Copper=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.82,10+:£0.82=100+:£0.79=250+:£0.77=500+:£0.75=1000+:£0.74,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1840003-40.jpg,885788.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
39-30-1020.,"CONNECTOR, PLUG MULTIPOLE",Manufacturer:MOLEX=Manufacturer Part No:39-30-1020.=Order Code:1654443=Technical Datasheet: 39-30-1020.  Datasheet,,,,,£0.244,8000+:£0.244,"Country of Origin:United States, , Country in which last significant manufacturing process was carried out=Tariff No:85369010, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.000816",NoImageIcon.jpg,1864933.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF30-SVE1-06,"Rectangular Power Connector, 6 Contacts, PCB Mount, Surface Mount, 3 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF30-SVE1-06=Order Code:1839932=Technical Datasheet: MF30-SVE1-06  Datasheet,No. of Contacts:6Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Surface Mount=Pitch Spacing:3mm=Contact Gender:-=Contact Material:Copper=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.368,10+:£0.368=100+:£0.331=250+:£0.315=500+:£0.305=1000+:£0.297,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1839930-40.jpg,885800.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF42-SP-06,"Rectangular Power Connector, 6 Contacts, PCB Mount, Through Hole, 4.2 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF42-SP-06=Order Code:1840068=Technical Datasheet: MF42-SP-06  Datasheet,No. of Contacts:6Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Through Hole=Pitch Spacing:4.2mm=Contact Gender:-=Contact Material:Brass=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.331,10+:£0.331=50+:£0.289=100+:£0.269=250+:£0.246=500+:£0.1954,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1840066-40.jpg,885893.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
6.62E+11,"Rectangular Power Connector, 24 Contacts, PCB Mount, Surface Mount, 3 mm, Header",Manufacturer:WURTH ELEKTRONIK=Manufacturer Part No:662024235922=Order Code:2113433=Technical Datasheet: 662024235922  Datasheet,No. of Contacts:24Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Surface Mount=Pitch Spacing:3mm=Contact Gender:Pin=Contact Material:Copper=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£1.53,1+:£1.53,"Country of Origin:China, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (07-Jul-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.0033",2113420-40.jpg,662024235922.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
BMCWPM2L-RE-100-SET,"Rectangular Power Connector, Red, 300A, 2 Contacts, BMC, Cable Mount, Crimp, Plug",Manufacturer:MULTICOMP PRO=Manufacturer Part No:BMCWPM2L-RE-100-SET=Order Code:2064940=Product Range:BMC=Technical Datasheet: BMCWPM2L-RE-100-SET  Datasheet,No. of Contacts:2Contacts=Product Range:BMC=Connector Mounting:Cable Mount=Contact Termination Type:Crimp=Pitch Spacing:-=Gender:Plug (View Associated Connectors)=Contact Gender:Pin=Connector Shell Size:-=No. of Rows:1Rows,,,,£12.13,1+:£12.13=5+:£11.89=10+:£11.65=25+:£11.41=50+:£11.40,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85369020, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (07-Jul-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.24",2064940-40.jpg,1505893.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
BMCWPF2L-RE-80-SET,"Rectangular Power Connector, Red, 270A, 2 Contacts, BMC, Cable Mount, Crimp, Receptacle",Manufacturer:MULTICOMP PRO=Manufacturer Part No:BMCWPF2L-RE-80-SET=Order Code:2064936=Product Range:BMC=Technical Datasheet: BMCWPF2L-RE-80-SET  Datasheet,No. of Contacts:2Contacts=Product Range:BMC=Connector Mounting:Cable Mount=Contact Termination Type:Crimp=Pitch Spacing:-=Gender:Receptacle (View Associated Connectors)=Contact Gender:Pin=Connector Shell Size:-=No. of Rows:1Rows,,,,£9.92,1+:£9.92=5+:£9.72=10+:£9.52=25+:£9.33=50+:£9.32,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85369020, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (07-Jul-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.25",2064936-40.jpg,1505896.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF30-SHE1-12,"Rectangular Power Connector, Right Angle, 12 Contacts, MF30, PCB Mount, Surface Mount, 3 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF30-SHE1-12=Order Code:1839976=Product Range:MF30=Technical Datasheet: MF30-SHE1-12  Datasheet,No. of Contacts:12Contacts=Product Range:MF30=Connector Mounting:PCB Mount=Contact Termination Type:Surface Mount=Pitch Spacing:3mm=Contact Gender:-=Contact Material:Copper=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.531,1+:£0.531,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1839970-40.jpg,885775.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
6.62E+11,"Rectangular Power Connector, 6 Contacts, WR-MPC3, PCB Mount, Surface Mount, 3 mm, Header",Manufacturer:WURTH ELEKTRONIK=Manufacturer Part No:662006235922=Order Code:2113422=Product Range:WR-MPC3=Technical Datasheet: 662006235922  Datasheet,No. of Contacts:6Contacts=Product Range:WR-MPC3=Connector Mounting:PCB Mount=Contact Termination Type:Surface Mount=Pitch Spacing:3mm=Contact Gender:Pin=Contact Material:Copper=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.926,1+:£0.926=50+:£0.80=100+:£0.767=250+:£0.671=500+:£0.623=1000+:£0.61,"Country of Origin:China, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (27-Jun-2018) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.0117",2113420-40.jpg,662024235922.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MX34020NF1,"Rectangular Power Connector, Right Angle, 20 Contacts, PCB Mount, Through Hole, 2.2 mm, Plug",Manufacturer:JAPAN AVIATION ELECTRONICS INDUSTRY=Manufacturer Part No:MX34020NF1=Order Code:1827225=Technical Datasheet: MX34020NF1  Datasheet,No. of Contacts:20Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Through Hole=Pitch Spacing:2.2mm=Gender:Plug (View Associated Connectors)=Contact Gender:Pin=Contact Material:Brass=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.92,1+:£0.92=10+:£0.81=50+:£0.68=100+:£0.62=250+:£0.58,"Country of Origin:Japan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:To Be Advised =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.06",1827222-40.jpg,1009712.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
64902421022,"Rectangular Power Connector, Right Angle, 24 Contacts, PCB Mount, Through Hole, 4.2 mm, Header",Manufacturer:WURTH ELEKTRONIK=Manufacturer Part No:64902421022=Order Code:2113380=Technical Datasheet: 64902421022  Datasheet,No. of Contacts:24Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Through Hole=Pitch Spacing:4.2mm=Contact Gender:Pin=Contact Material:Copper=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£1.71,1+:£1.71=10+:£1.56=50+:£1.43=100+:£1.35=250+:£1.23,"Country of Origin:China, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (07-Jul-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.00857",2113368-40.jpg,1598850.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
BMCWPF2L-BK-100-SET,"Rectangular Power Connector, Black, 300A, 2 Contacts, BMC, Cable Mount, Crimp, Receptacle",Manufacturer:MULTICOMP PRO=Manufacturer Part No:BMCWPF2L-BK-100-SET=Order Code:2064929=Product Range:BMC=Technical Datasheet: BMCWPF2L-BK-100-SET  Datasheet,No. of Contacts:2Contacts=Product Range:BMC=Connector Mounting:Cable Mount=Contact Termination Type:Crimp=Pitch Spacing:-=Gender:Receptacle (View Associated Connectors)=Contact Gender:Pin=Connector Shell Size:-=No. of Rows:1Rows,,,,£9.92,1+:£9.92=5+:£9.72=10+:£9.52=25+:£9.33=50+:£9.32,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85369020, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (07-Jul-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.24",2064929-40.jpg,1505893.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
GDMF 2016 DGAA,"Rectangular Power Connector, Valve, M16, 24V LED, 2P+E, 3 Contacts, GDMF Valve Connectors",Manufacturer:HIRSCHMANN=Manufacturer Part No:GDMF 2016 DGAA=Order Code:2069650=Product Range:GDMF Valve Connectors=Technical Datasheet: GDMF 2016 DGAA  Datasheet,No. of Contacts:3Contacts=Product Range:GDMF Valve Connectors=Connector Mounting:Cable Mount=Contact Termination Type:Screw=Pitch Spacing:-=Gender:-=Contact Gender:Socket=Connector Shell Size:-=No. of Rows:-,,,,£10.09,1+:£10.09=5+:£9.02=10+:£8.02=50+:£6.43,"Country of Origin:Czech Republic, , Country in which last significant manufacturing process was carried out=Tariff No:85366990, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (07-Jul-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.027",2069650-40.jpg,1525784.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF30-SVE1-02,"Rectangular Power Connector, 2 Contacts, PCB Mount, Surface Mount, 3 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF30-SVE1-02=Order Code:1839930=Technical Datasheet: MF30-SVE1-02  Datasheet,No. of Contacts:2Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Surface Mount=Pitch Spacing:3mm=Contact Gender:-=Contact Material:Copper=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.368,10+:£0.368=100+:£0.32=250+:£0.298=500+:£0.273=1000+:£0.263,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1839930-40.jpg,885800.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF30-SVE1-18,"Rectangular Power Connector, 18 Contacts, PCB Mount, Surface Mount, 3 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF30-SVE1-18=Order Code:1839939=Technical Datasheet: MF30-SVE1-18  Datasheet,No. of Contacts:18Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Surface Mount=Pitch Spacing:3mm=Contact Gender:-=Contact Material:Copper=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.68,10+:£0.68=100+:£0.64=250+:£0.62=500+:£0.61=1000+:£0.60,"Country of Origin:China, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1839939-40.jpg,885800.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF30-SHE1-08,"Rectangular Power Connector, Right Angle, 8 Contacts, PCB Mount, Surface Mount, 3 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF30-SHE1-08=Order Code:1839973=Technical Datasheet: MF30-SHE1-08  Datasheet,No. of Contacts:8Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Surface Mount=Pitch Spacing:3mm=Contact Gender:-=Contact Material:Copper=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.53,1+:£0.53=5+:£0.49=10+:£0.45,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1839970-40.jpg,885775.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF42-SP-22,"Rectangular Power Connector, 22 Contacts, PCB Mount, Through Hole, 4.2 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF42-SP-22=Order Code:1840077=Technical Datasheet: MF42-SP-22  Datasheet,No. of Contacts:22Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Through Hole=Pitch Spacing:4.2mm=Contact Gender:-=Contact Material:Brass=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.45,10+:£0.45=50+:£0.43=100+:£0.42=250+:£0.41=500+:£0.40,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1840066-40.jpg,885893.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
6.49E+11,"Rectangular Power Connector, 14 Contacts, PCB Mount, Through Hole, 4.2 mm, Header",Manufacturer:WURTH ELEKTRONIK=Manufacturer Part No:649014221732=Order Code:2113346=Technical Datasheet: 649014221732  Datasheet,No. of Contacts:14Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Through Hole=Pitch Spacing:4.2mm=Contact Gender:Pin=Contact Material:Copper=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.867,1+:£0.867,"Country of Origin:China, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (07-Jul-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.253",2113339-40.jpg,649014221732.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF42-RP-22,"Rectangular Power Connector, Right Angle, 22 Contacts, PCB Mount, Through Hole, 4.2 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF42-RP-22=Order Code:1840104=Technical Datasheet: MF42-RP-22  Datasheet,No. of Contacts:22Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Through Hole=Pitch Spacing:4.2mm=Contact Gender:-=Contact Material:Brass=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.49,10+:£0.49=50+:£0.48=100+:£0.46=250+:£0.45=500+:£0.44,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1840097-40.jpg,885867.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF42-SP-20,"Rectangular Power Connector, 20 Contacts, PCB Mount, Through Hole, 4.2 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF42-SP-20=Order Code:1840076=Technical Datasheet: MF42-SP-20  Datasheet,No. of Contacts:20Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Through Hole=Pitch Spacing:4.2mm=Contact Gender:-=Contact Material:Brass=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.336,10+:£0.336=50+:£0.31=100+:£0.299=250+:£0.287=500+:£0.274,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1840066-40.jpg,885893.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF42-RP-14,"Rectangular Power Connector, Right Angle, 14 Contacts, PCB Mount, Through Hole, 4.2 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF42-RP-14=Order Code:1840099=Technical Datasheet: MF42-RP-14  Datasheet,No. of Contacts:14Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Through Hole=Pitch Spacing:4.2mm=Contact Gender:-=Contact Material:Brass=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.36,10+:£0.36=50+:£0.34=100+:£0.33=250+:£0.32=500+:£0.31,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1840097-40.jpg,885867.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MX34036UF2,"Rectangular Power Connector, 36 Contacts, PCB Mount, Through Hole, 2.2 mm, Plug",Manufacturer:JAPAN AVIATION ELECTRONICS INDUSTRY=Manufacturer Part No:MX34036UF2=Order Code:1827240=Technical Datasheet: MX34036UF2  Datasheet,No. of Contacts:36Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Through Hole=Pitch Spacing:2.2mm=Gender:Plug (View Associated Connectors)=Contact Gender:Pin=Contact Material:Brass=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£1.57,1+:£1.57=10+:£1.31=50+:£1.11=100+:£1.09=250+:£0.941,"Country of Origin:Japan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:To Be Advised =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.08",1827233-40.jpg,1009712.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF30-SVE1-10,"Rectangular Power Connector, 10 Contacts, PCB Mount, Surface Mount, 3 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF30-SVE1-10=Order Code:1839934=Technical Datasheet: MF30-SVE1-10  Datasheet,No. of Contacts:10Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Surface Mount=Pitch Spacing:3mm=Contact Gender:-=Contact Material:Copper=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.62,10+:£0.62=100+:£0.57=250+:£0.52=500+:£0.48=1000+:£0.44,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1839930-40.jpg,885800.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
MF42-SP-18,"Rectangular Power Connector, 18 Contacts, PCB Mount, Through Hole, 4.2 mm, Header",Manufacturer:AMPHENOL COMMUNICATIONS SOLUTIONS=Manufacturer Part No:MF42-SP-18=Order Code:1840075=Technical Datasheet: MF42-SP-18  Datasheet,No. of Contacts:18Contacts=Product Range:-=Connector Mounting:PCB Mount=Contact Termination Type:Through Hole=Pitch Spacing:4.2mm=Contact Gender:-=Contact Material:Brass=Contact Plating:Tin Plated Contacts=Connector Shell Size:-=No. of Rows:2Rows,,,,£0.269,1+:£0.269,"Country of Origin:Taiwan, , Country in which last significant manufacturing process was carried out=Tariff No:85366930, =US ECCN:EAR99 =EU ECCN:NLR =RoHS Compliant:Yes  =RoHS Phthalates Compliant:To be advised =SVHC:No SVHC (12-Jan-2017) =Download Product Compliance Certificate:Product Compliance Certificate=Weight (kg):.001",1840075-40.jpg,885893.pdf,Connectors\Rectangular Power Connectors & Components\Rectangular Power Connectors,Rectangular Power Connectors
